A0_name,A0,theta,gamma_per_Gyr,t_half_Gyr,sigma_res_DESI_path,sigma_res_since_recomb
amp_1e-5,1e-05,0.01,0.0006893025158519125,1005.5776159518018,9.90644041894035e-06,9.324418395562637e-06
amp_1e-5,1e-05,0.05,0.0034465125792595627,201.11552319036036,9.540873975903711e-06,7.048695707657256e-06
amp_1e-5,1e-05,0.1,0.0068930251585191255,100.55776159518018,9.102827622407671e-06,4.968411117914583e-06
amp_1e-5,1e-05,0.3,0.020679075475557376,33.51925386506006,7.54273684533089e-06,1.2264577018446282e-06
amp_1e-5,1e-05,0.693,0.047768664348537535,14.51049950868401,5.213049978355281e-06,7.848514190624287e-08
amp_1e-5,1e-05,1.0,0.06893025158519125,10.055776159518018,3.906278353585212e-06,9.165902841429885e-09
amp_1e-5,1e-05,1.2,0.0827163019022295,8.379813466265015,3.2367996943253683e-06,2.2626131105973658e-09
amp_1e-5,1e-05,2.0,0.1378605031703825,5.027888079759009,1.525901057568839e-06,8.40137748985324e-12
amp_1e-5,1e-05,5.0,0.3446512579259563,2.0111552319036035,9.095277101695825e-08,6.469582376444798e-21
amp_1e-5,1e-05,10.0,0.6893025158519126,1.0055776159518017,8.272406555663239e-10,4.1855496125605116e-36
amp_1e-4,0.0001,0.0001,6.893025158519126e-06,100557.76159518017,9.999060044178616e-05,9.993007595840177e-05
amp_1e-4,0.0001,0.001,6.893025158519126e-05,10055.776159518018,9.990604416616019e-05,9.930295570363531e-05
amp_1e-4,0.0001,0.01,0.0006893025158519125,1005.5776159518018,9.906440418940348e-05,9.324418395562637e-05
amp_1e-4,0.0001,0.05,0.0034465125792595627,201.11552319036036,9.540873975903711e-05,7.048695707657255e-05
amp_1e-4,0.0001,0.1,0.0068930251585191255,100.55776159518018,9.10282762240767e-05,4.9684111179145826e-05
amp_1e-4,0.0001,0.3,0.020679075475557376,33.51925386506006,7.54273684533089e-05,1.2264577018446282e-05
amp_1e-4,0.0001,0.693,0.047768664348537535,14.51049950868401,5.213049978355281e-05,7.848514190624287e-07
amp_1e-4,0.0001,1.0,0.06893025158519125,10.055776159518018,3.906278353585211e-05,9.165902841429883e-08
amp_1e-4,0.0001,1.2,0.0827163019022295,8.379813466265015,3.236799694325368e-05,2.2626131105973654e-08
amp_1e-4,0.0001,2.0,0.1378605031703825,5.027888079759009,1.525901057568839e-05,8.401377489853241e-11
amp_1e-4,0.0001,5.0,0.3446512579259563,2.0111552319036035,9.095277101695824e-07,6.469582376444797e-20
amp_1e-4,0.0001,10.0,0.6893025158519126,1.0055776159518017,8.272406555663238e-09,4.185549612560511e-35
old_calib_0.018,0.018,0.0001,6.893025158519126e-06,100557.76159518017,0.01799830807952151,0.017987413672512317
old_calib_0.018,0.018,0.001,6.893025158519126e-05,10055.776159518018,0.017983087949908834,0.017874532026654354
old_calib_0.018,0.018,0.01,0.0006893025158519125,1005.5776159518018,0.017831592754092625,0.016783953112012744
old_calib_0.018,0.018,0.05,0.0034465125792595627,201.11552319036036,0.017173573156626678,0.01268765227378306
old_calib_0.018,0.018,0.1,0.0068930251585191255,100.55776159518018,0.016385089720333805,0.008943140012246248
old_calib_0.018,0.018,0.3,0.020679075475557376,33.51925386506006,0.0135769263215956,0.0022076238633203307
old_calib_0.018,0.018,0.693,0.047768664348537535,14.51049950868401,0.009383489961039505,0.00014127325543123714
old_calib_0.018,0.018,1.0,0.06893025158519125,10.055776159518018,0.00703130103645338,1.649862511457379e-05
old_calib_0.018,0.018,1.2,0.0827163019022295,8.379813466265015,0.005826239449785662,4.072703599075257e-06
old_calib_0.018,0.018,2.0,0.1378605031703825,5.027888079759009,0.00274662190362391,1.5122479481735833e-08
old_calib_0.018,0.018,5.0,0.3446512579259563,2.0111552319036035,0.00016371498783052482,1.1645248277600635e-17
old_calib_0.018,0.018,10.0,0.6893025158519126,1.0055776159518017,1.4890331800193826e-06,7.53398930260892e-33
